535.00,17.50,484.77,0.00610812,0.697264,0.716761,-0.00623223
610.30,17.17,431.70,0.0544855,-0.69518,-0.713482,0.068555
524.04,70.61,592.08,0.00491313,0.561087,0.827711,-0.00721799
521.54,-41.35,582.02,0.00712265,0.822102,0.569274,-0.00499388
519.67,-85.90,675.01,0.0263454,-0.8997,-0.434526,-0.0321465
552.55,-159.02,486.56,0.127574,-0.686177,-0.705364,-0.123888
551.92,226.64,484.29,0.154276,0.680915,0.699957,-0.150376
498.17,199.76,658.13,0.189271,0.845182,0.489162,-0.10278
409.61,170.69,612.50,0.211313,0.952847,0.21382,-0.0413649
475.75,133.38,651.63,0.0624083,0.599339,0.797697,-0.0240484
365.38,197.32,625.72,0.023888,0.218385,-0.975441,-0.0158761
396.05,81.35,631.42,0.0899725,0.713774,-0.686988,-0.10237
