,std,no_Local,no_local_std,random,ias
5,,,0.002186869473370811,0.002186869473370812,0.0021983303274624734
6,,,0.0018020270341788042,0.0019405464897202568,0.0019402339093391985
7,,,0.001693416498468048,0.0018083793840260021,0.0017774765024563765
8,,,0.0013556404443794009,0.001707037775596581,0.0017370793545648726
9,,,0.0012587800848068667,0.0015683982622073738,0.0016439474353912233
10,,,0.00117774054833632,0.0015006073126666913,0.0015380943567295522
11,,,0.0011351965195583347,0.0014628164064175546,0.0015445702083783735
12,,,0.0011521063096389245,0.0013951071425756256,0.001484164695066902
13,,,0.0010806155603972592,0.001385301531288961,0.0014255769064512548
14,,,0.0010414640955618778,0.0013461417463954991,0.0014686932288139004
15,,,0.001022165718110604,0.001230112263280783,0.0013623661854191308
16,,,0.0010354581903214584,0.0012197941589122362,0.0012814208120430553
17,,,0.0010360303479658053,0.0011885727707810296,0.0011680595241799184
18,,,0.0010194633870461037,0.0011653018181149628,0.0011670683540947085
19,,,0.001015192538738978,0.0011603257857922063,0.0011824125001190051
20,,,0.000986122822694772,0.001119673649282213,0.001104206933481459
21,,,0.0009790954859361372,0.0011174118209424668,0.0010746625009396063
22,,,0.0009590806410565402,0.001120576859937647,0.0010412096149018033
23,,,0.0009682360594214668,0.001102598261026707,0.00103397139026262
24,,,0.0009510162075141371,0.0010869091046393552,0.0010269417787654234
25,,,0.0009501583604383839,0.0010645576545214475,0.0010092148332284132
